name,email,address,phone_number,birthdate
Еріка Журба,ebaranyk@nav4it.org,"проспект Скляний 1-й, буд. 606, Ніжин, 81893",048 738 46 31,1967-12-24
Борис Сагаль,mykhailyna44@nav4it.org,"парк Професора Коровицького, буд. 50, Заводське, 16218",916-80-79,1976-10-23
Емілія Петлюра,danylenkovalentyn@nav4it.org,"парк Грушева, буд. 250, Вовчанськ, 80346",087 039 54 61,1965-11-17
Богуслава Хомик,stefanvitruk@ukr.net,"вулиця Балтський 3-й, буд. 78 кв. 9, Знам'янка, 95435",+380 (57) 444-28-75,1976-12-13
Юстина Єфименко,zakharbabiuk@gmail.com,"парк Лінія 44-та, буд. 72, Охтирка, 37234",+380 24 685-89-85,2000-09-19
Євген Іващенко,olenaisaienko@ukr.net,"провулок Шкільний аеродром, буд. 543, Барвінкове, 72562",865 24 92,1980-11-16
пан Нестор Іванченко,valeriiilienko@nav4it.org,"сквер Чорноморський, буд. 09 кв. 0, Куп'янськ, 52035",+380 (76) 566-39-50,1986-12-27
Єлисей Свириденко,shmorhunarsen@gmail.com,"шосе Академічна, буд. 254, Берестечко, 51994",+380 10 805 94 49,1982-03-17
Феофан Яковенко,rostyslav78@ukr.net,"вулиця Добровольців, буд. 152, Новоазовськ, 61244",084 257-96-36,1972-10-15
Ада Іщак,shcherbakpavlo@ukr.net,"провулок Бузковий 1-й, буд. 0, Горішні Плавні, 20340",+380 63 726-60-64,1987-12-15
Костянтин Семенченко,edyta85@ukr.net,"шосе Каркашадзе, буд. 3 кв. 204, Моршин, 57707",444-59-52,1960-01-14
Михайло Вишиваний,fartushniakleopold@ukr.net,"провулок Світанку, буд. 5, Черкаси, 13120",059 76 43,1990-04-26
Климент Гаєвський,vasylenkoboleslav@ukr.net,"провулок Миколи Бажана, буд. 6 кв. 04, Новоукраїнка, 87863",079 819-96-12,1959-07-28
Ростислав Іщенко,idavymuka@gmail.com,"парк 15-та ст. Великого Фонтану пляж, буд. 650 кв. 8, Вугледар, 66156",813 01 65,2003-07-13
пан Лесь Нестайко,kostiantynbabii@nav4it.org,"площа Олександра Богомольця, буд. 93, Дніпро, 31547",030 643-33-81,1991-10-22
Христина Базилевська,nsalii@gmail.com,"вулиця Наявний 2-й, буд. 618 кв. 702, Новогродівка, 10242",839 92 40,1965-08-22
Оксана Макаренко,ivan29@gmail.com,"вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 01 кв. 486, Хмільник, 89786",+380 83 499-27-52,1991-02-05
Асаула Назар Хомович,hermanbezditko@nav4it.org,"провулок Кастуся Калиновського, буд. 4, Берегове, 87836",859 60 55,1980-05-26
пані Камілла Доценко,shvachkosnizhana@ukr.net,"провулок Бузковий 2-й, буд. 49 кв. 9, Коростень, 29211",+380 11 920-83-58,2006-09-04
Йосип Аврамчук,demyd19@gmail.com,"проспект Івахненка Петра, буд. 9 кв. 767, Апостолове, 58943",400-41-92,1997-09-10
